tafel_nr,wijk,begin_tijd,volg_nr,eind_tijd,servicetype
4,1,2019-01-12 12:31:33,0,2019-02-03 12:40:44,drinken
11,1,2019-01-12 12:36:47,0,2019-02-03 13:47:26,eten
9,1,2019-01-12 12:44:56,0,2019-02-02 14:38:07,drinken
10,1,2019-01-12 12:53:47,0,2019-02-02 12:37:23,eten
109,1,2019-01-12 13:05:58,0,2019-02-03 16:41:44,eten
4,1,2019-01-12 13:10:47,0,2019-02-03 12:40:44,drinken
9,1,2019-01-12 13:12:42,0,2019-02-02 14:38:07,drinken
2,1,2019-01-12 13:15:49,1,2019-02-03 12:30:50,eten
107,1,2019-01-12 13:19:15,0,2019-02-03 13:57:33,drinken
9,1,2019-01-12 13:20:01,0,2019-02-02 14:38:07,drinken
103,1,2019-01-12 13:31:00,1,2019-02-02 14:17:06,drinken
103,1,2019-01-12 13:42:06,1,2019-02-02 14:17:06,drinken
107,1,2019-01-12 13:42:30,0,2019-02-03 13:57:33,drinken
2,1,2019-01-12 13:43:20,1,2019-02-03 12:30:50,eten
14,1,2019-01-12 13:49:50,1,2019-02-03 16:21:03,eten
103,1,2019-01-12 14:01:06,1,2019-02-02 14:17:06,drinken
2,1,2019-01-12 14:01:41,1,2019-02-03 12:30:50,eten
7,1,2019-01-12 14:02:24,0,2019-02-04 15:43:16,drinken
9,1,2019-01-12 14:17:54,0,2019-02-02 14:38:07,drinken
14,1,2019-01-12 14:32:14,1,2019-02-03 16:21:03,eten
105,1,2019-01-12 14:32:52,0,2019-02-03 13:57:34,drinken
109,1,2019-01-12 14:39:02,0,2019-02-03 16:41:44,eten
1,1,2019-01-12 14:40:52,0,2019-02-03 12:10:07,betalen
107,1,2019-01-12 14:49:13,0,2019-02-03 13:57:33,drinken
1,1,2019-01-12 14:51:10,0,2019-02-03 12:10:07,betalen
1,1,2019-01-12 14:56:25,0,2019-02-03 12:10:07,betalen
109,1,2019-01-12 15:01:07,0,2019-02-03 16:41:44,eten
107,1,2019-01-12 15:14:02,0,2019-02-03 13:57:33,drinken
1,1,2019-01-12 15:15:16,0,2019-02-03 12:10:07,betalen
1,1,2019-01-12 15:26:15,0,2019-02-03 12:10:07,betalen
1,1,2019-01-12 15:32:18,0,2019-02-03 12:10:07,betalen
7,1,2019-01-12 16:04:29,0,2019-02-04 15:43:16,drinken
109,1,2019-01-12 16:39:32,0,2019-02-03 16:41:44,eten
3,1,2019-01-12 16:41:37,0,2019-02-02 15:03:39,drinken
14,1,2019-01-12 16:43:12,1,2019-02-03 16:21:03,eten
13,1,2019-01-12 16:43:15,0,2019-02-03 13:47:24,eten
11,1,2019-01-12 16:43:18,0,2019-02-03 13:47:26,eten
14,1,2019-01-12 18:07:06,1,2019-02-03 16:21:03,eten
3,1,2019-01-13 10:28:42,0,2019-02-02 15:03:39,drinken
9,1,2019-01-13 11:05:38,0,2019-02-02 14:38:07,drinken
109,1,2019-01-13 11:05:45,0,2019-02-03 16:41:44,eten
2,1,2019-01-13 11:33:00,1,2019-02-03 12:30:50,eten
6,1,2019-01-13 11:38:14,0,2019-02-02 11:52:56,drinken
109,1,2019-01-13 11:38:53,0,2019-02-03 16:41:44,eten
9,1,2019-01-13 11:39:38,0,2019-02-02 14:38:07,drinken
12,1,2019-01-13 11:47:33,0,2019-02-02 13:28:43,drinken
14,1,2019-01-13 11:47:47,1,2019-02-03 16:21:03,eten
11,1,2019-01-13 11:48:05,0,2019-02-03 13:47:26,eten
13,1,2019-01-13 11:48:22,0,2019-02-03 13:47:24,eten
6,1,2019-01-13 11:48:42,0,2019-02-02 11:52:56,drinken
10,1,2019-01-13 11:55:29,0,2019-02-02 12:37:23,eten
8,1,2019-01-13 11:58:06,0,2019-02-03 13:47:28,eten
107,1,2019-01-13 11:58:16,0,2019-02-03 13:57:33,drinken
109,1,2019-01-13 11:58:26,0,2019-02-03 16:41:44,eten
9,1,2019-01-13 11:58:41,0,2019-02-02 14:38:07,drinken
7,1,2019-01-13 11:59:20,0,2019-02-04 15:43:16,drinken
5,1,2019-01-13 11:59:31,0,2019-02-02 15:19:35,drinken
105,1,2019-01-13 11:59:39,0,2019-02-03 13:57:34,drinken
4,1,2019-01-13 11:59:49,0,2019-02-03 12:40:44,drinken
103,1,2019-01-13 11:59:57,1,2019-02-02 14:17:06,drinken
3,1,2019-01-13 12:00:06,0,2019-02-02 15:03:39,drinken
1,1,2019-01-13 12:36:08,0,2019-02-03 12:10:07,betalen
